order_id,product_name,category,brand,color,size,gender,material,season,unit_price,discount,quantity,total_sales,order_date,shipping_date,region,payment_method,order_status,customer_rating,return_reason
ORD-96308,T-Shirt,T-SHIRT,Zara,Brown,M,MALE,Wool,Spring,185.25,17%,20,$3075.15,15-08-2024,,الدوحة,Credit Card,Processing,1.6,
ORD-17011,Blazer,Blazer,Nike,Red,LARGE,Unisex,Linen,Spring,412.65,0.1,14,5199.39,10-21-2022,,Doha,Debit Card,Processing,1.8,
ORD-59175,T-Shirt Grey,T-Shirt,Gucci,Grey,XXL,child,Polyester,Autumn,478.53,26%,9,3187.01,2022/04/15,2022/04/22,Riyadh,Online,Processing,1.8,
ORD-89895,Shorts,Short,mango,Green,  XS  ,Women,,Winter,114,20%,4,-365.92,2023-09-11,"September 19, 2023",riyadh,Cash,Processing,3.6,
ORD-51864,T-Shirt White,tshirt,Levi's,White,XXL,Unisex,Linen,Spring,263.02,48%,5,683.85,2024-04-20,"May 03, 2024",  Alexandria  ,Credit Card,Returned,4.4,
ORD-87041,Coat,Coat,Zara,Green,L,Men,Silk,Summer,43.10,0.46,NULL,465.48,,2023/08/13,Dooha,Debit Card,Cancelled,1.8,
ORD-68904,Jeans ,Jeen,Mango,White,  XS  ,unisex,Wool,Autumn,143.01,41%,15,1265.64,01-11-2023,"November 13, 2023",Casablanca,Cash,Cancelled,4.1,
ORD-50761,Skirt Red,  Skirt  ,Mango,Red,extra large,Kids,Silk,Summer,420.63,,15,4984.47,"January 01, 2023",13/01/2023,Kuwait,Debit Card,Delivered,2.3,Changed mind
ORD-99791,Jeans Blue,Jeans,Nike,Blue,S,Men,Polyester,Autumn,467.06,11%,1,415.68,2022/05/30,02/06/2022,الدوحة,debit card,Processing,1.0,
ORD-34342,Shorts Brown,Shorts,Gucci,Brown,XXL,WOMEN,Nylon,Spring,444.68,28%,7,,04-09-2022,22/04/2022,Cario,Debit Card,Processing,2.5,
ORD-23523,Shorts,Shortz,H&M,Blue,XL,Unisex,Wool,Winter,467.38 USD,,5,2056.47,2023/08/12,,Tunis City,Credit Card,Processing,1.8,Defective
ORD-28083,Jeans,Jeans,Puma,White,XXL,unisex,Linen,Winter,20.56,33%,8,110.20,12/06/2022,2022/06/18,Kuwait City,Installment,Cancelled,3.3,
ORD-22221,Blazer Purple,BLAZER,Puma,Purple,XL,Women,Denim,Winter,238.89,0.14,,,01-28-2023,01-29-2023,Doha,Credit Card,cancelled,1.5,
ORD-23413,T-Shirt Yellow,T-Shirt,Zara,Yellow,XXL,Women,Nylon,Spring,143.96,16%,8,967.41,27-12-2022,,Kuwait,Installment,Pending,8,
ORD-13515,Blazer Brown,Blazer,Adidas,Brown,xxl,Unisex,Polyester,Autumn,219.83,0.36,20,2813.82 USD,"September 26, 2023",03/10/2023,Beirut,Online,Processing,2.4,
ORD-37455,Jacket Black,Jackt,Nike,Black,XX-L,Unisex,Linen,Summer,EGP 485.49,17%,20,8059.13 USD,08/06/2024,"June 20, 2024",kuwait,Credit Card,Cancelled,,Wrong size
ORD-58271,Dress Grey,Dress,H&M,Grey,XL,Men,Leather,Summer,188.15,10%,10,,28/05/2024,06-01-2024,عمان,Installment,Returned,1.2,
ORD-45496,Hoodie Pink,Hoody,Uniqlo,Pink,MEDIUM,Men,,Winter,259.77,20%,17,3532.87,22-05-2023,05-26-2023,Kuwait,Credit Card,Processing,2.4,
ORD-81921,sweters,  Sweater  ,Uniqlo,,MEDIUM,men,Wool,N/A,67.62,10%,13,,05-16-2024,"May 21, 2024",tunis,Installment,Cancelled,3.6,
ORD-99557,Dress White,Dress,H&M,White,XXL,Kids,Silk,Summer,216.95 USD,38%,18,2421.16,16/06/2024,"June 24, 2024",Doha,Installment,Pending,2.2,
ORD-18530,Jacket White,Jacket,Levi's,White,Lg,Unisex,Nylon,Summer,64.07,42%,8,297.28,"November 01, 2022",12-11-2022,عمان,Cash,Returned,2.6,Late delivery
ORD-40987,T-Shirt Red,t_shirt,Puma,Red,M,Unisex,Leather,Summer,323.51,40%,4,776.42,N/A,2023-12-26,الكويت,Cash,Pending,3.2,
ORD-24479,Shorts Pink,Short,Levi's,Pink,Lg,Child,Denim,N/A,$17.21,,6,$68.15,N/A,13/02/2022,Doha,Credit Card,Processing,2.7,
ORD-60347,Jaket,jackets,Uniqlo,Grey,XXL,MEN,Wool,Autumn,291.91,20%,14,EGP 3269.39,18/12/2024,2024-12-23,Cairo,installment,Returned,1.8,Late delivery
ORD-47239,Sweater White,Sweater,Uniqlo,White,XXL,Men,Denim,Spring,183.76,0.02,18,3241.53,2022/12/29,2023/01/06,Doha,Online,Delivered,3.6,Changed mind
ORD-30383,Hoodie Blue,Hoodie,Zara,Blue,L,male,Linen,Winter,408.15,36%,15,3918.24,"March 08, 2024","March 13, 2024",Beirut,Installment,Pending,2.8,
ORD-56927,Shorts Blue,  Shorts  ,Nike,Blue,Lg,Kids,Wool,Winter,282.24 USD,0%,5,1411.20,2023-05-29,31-05-2023,Beirut,Cash,Returned,3.8,
ORD-25537,Hoodie Brown,Hoodie,H&M,Brown,S,  Men  ,Denim,Spring,EGP 102.78,7%,,1147.02,2022-07-05,,Dubai,Debit Card,Cancelled,,
ORD-24374,Dress,  Dress  ,H&M,Grey,m,Unisex,Denim,Autumn,246.59,43%,5,$702.78,2022-08-08,08-11-2022,Doha,Installment,Pending,4.0,Defective
ORD-70020,tshirt,t_shirt,Mango,Purple,xl,Women,Denim,Summer,382.40,14%,8,2630.91,2024/03/26,"March 29, 2024",Doha,Cash,Delivered,2.8,
ORD-59735,Blazer,Blazer,Uniqlo,White,M,Male,Nylon,Spring,$296.29,23%,8,1825.15,"December 09, 2024",,  Amman  ,Installment,Processing,4.3,Defective
ORD-53408,T-Shirt White,T-Shirt,Zara,White,XXL,Kids,Silk,Winter,407.48,11%,9,3263.91,14/06/2024,"June 22, 2024",Alex,Cash,cancelled,1.3,
ORD-99889,Blazer Brown,Blaizer,forever21,Brown,M,  Unisex  ,Leather,Summer,$487.37,48%,-8,2027.46,14-08-2024,2024-08-16,Riyadh,Installment,Pending,4.6,
ORD-26847,BLAZER,Blaizer,Nike,Pink,L,unisex,Wool,Summer,173.21,43%,NULL,1875.86,"October 17, 2024",,Casablanca,Online,Processing,4.6,Late delivery
ORD-74434,Shorts Green,shorts,Mango,,XXL,Unisex,Denim,Autumn,192.58,34%,3,381.31,"August 18, 2022",09-01-2022,CAIRO,Debit Card,Pending,3.5,
ORD-70537,coat,COAT,Forever21,Blue,XL,Men,Polyester,Winter,257.89,4%,6,1485.45,,29-03-2024,Alexandria,Online,Pending,4.7,Late delivery
ORD-57878,Sweater Red,sweater,Zara,Red,LARGE,both,Nylon,Autumn,475.30,15%,15,6060,2023-01-26,06-02-2023,دبي,Installment,Pending,4.7,Changed mind
ORD-69347,Hoodie Grey,Hoodie,Adidas,Grey,XL,Women,Wool,Winter,350.22 USD,25%,5,1313.33 USD,04-22-2024,2024/05/05,  Amman  ,Cash,Returned,3.1,Defective
ORD-31094,T-Shirt,T-Shirt,Levi's,Grey,XXL,Women,Leather,Winter,90.61,13%,18,1418.95,2022-05-03,11/05/2022,Kuwait,Installment,Processing,1.5,
ORD-74711,Blazer White,Blaizer,Puma,White,S,MEN,Linen,N/A,255.19,26%,8,EGP 1510.72,2022/04/06,N/A,Alexandria,Credit Card,Pending,2.1,Changed mind
ORD-55087,SHORTS,Shorts,Levi's,Grey,M,male,Leather,Autumn,330.37,0.44,,$185.01,"July 23, 2022",26-07-2022,Doha,Cash,Pending,2.7,
ORD-91959,Sweater,Sweater,Zara,Purple,xs,Unisex,Wool,Summer,$119.46,14%,13,1335.56,15/03/2022,2022-03-26,Dubai,Online,Pending,2.2,Wrong size
ORD-69421,Skrt,Skirt,Forever21,Green,M,Unisex,Silk,Autumn,16.51,18%,5,,10-19-2023,2023/10/31,DOHA,Online,Delivered,2.7,
ORD-31870,Jacket Red,Jacket,H&M,Red,L,Unisex,Polyester,Autumn,418.25,,7,2664.25 USD,2022-01-13,23/01/2022,Kuwait,Online,Pending,1.0,Wrong size
ORD-39764,Jeans Green,Jeans ,Forever21,Green,L,MALE,Denim,Autumn,217.68,4%,10,2089.73,29/09/2022,2022-10-11,Dubai,credit card,Cancelled,2.3,Late delivery
ORD-51505,Blazer Black,Blazer,Zara,Black,L,women,Polyester,Winter,349.43,32%,11,2613.74,,01-04-2025,Casablanca,Debit Card,Processing,4.4,Changed mind
ORD-91980,T-Shirt Purple,t_shirt,H&M,Purple,m,Unisex,Polyester,Summer,67.35,41%,19,754.99,2024-10-11,N/A,casablanca,online,Cancelled,3.2,
ORD-49077,Sweter,Sweater,Nike,Pink,large,uni,Cotton,Summer,12.65,,4,40.48,23-05-2024,"June 03, 2024",Amman,Debit Card,Delivered,2.1,
ORD-76778,Jacket Blue,Jacket,Puma,Blue,M,Unisex,,Spring,73.81,20%,6,,12-09-2023,09-18-2023,DUBAI,Online,Cancelled,3.9,
ORD-46835,Shorts Green,Shortz,Levi's,Green,XXL,Men,Silk,Winter,25.42,36%,10,162.69,30-05-2024,05-31-2024,Doha,Online,Pending,,
ORD-74312,Jacket Blue,Jaket,Puma,Blue,XS,MALE,Denim,Summer,379.95,39%,4.0,927.08,,"November 27, 2023",Kuwait,installment,Returned,2.2,
ORD-80817,Skirt Green,Skirt,puma,Green,xs,both,Silk,Summer,408.76,7%,9,$3421.32,2023/05/24,30-05-2023,Kuwait,Installment,Processing,1.3,
ORD-16949,Jeen,Jeans,Mango,Grey,XXL,WOMEN,Silk,Spring,458.99,44%,1,257.03,2023/04/25,01/05/2023,Tunis,Credit Card,Cancelled,,
ORD-11637,Sweater,Sweater,Adidas,Blue,Sm,men,Linen,Summer,356.97,32%,6,$1456.44,"December 16, 2024","December 21, 2024",Kuwait,Cash,Pending,4.1,
ORD-80621,Hoodie,Hoodie,H&M,Green,M,Women,Denim,Summer,132.86,7%,-7,864.92,06-08-2022,,Beirut,Debit Card,Cancelled,3.0,
ORD-81349,Skirt,Skirt,Levi's,White,XXL,UNISEX,Polyester,Summer,435.38,20%,,EGP 1393.22,01-20-2022,2022-01-24,Cairo,Online,Processing,4.3,
ORD-83619,Dress,Dress,Mango,Red,L,childrens,Linen,Summer,300.24,25%,15,3377.70,"July 06, 2023",2023-07-16,Casablanca,Debit Card,Processing,4.2,Late delivery
ORD-74652,Shorts White,Shorts,FOREVER21,White,XXL,Women,Wool,Spring,368.72,38%,5,1143.03,10-02-2022,08-10-2022,Beirut,Online,Pending,1.3,Defective
ORD-69142,Blazer Red,Blazer,Zara,Red,XS,Women,Wool,Autumn,202.21,2%,-15,2972.49,,2022-11-23,Casablanca,Debit Card,Returned,3.9,Wrong size
ORD-36864,Coat Pink,Coatt,Gucci,Pink,XL,uni,Silk,Autumn,292.90 USD,23%,20,4510.66,"August 09, 2024",2024/08/19,Beirut,Credit Card,Processing,,Changed mind
ORD-43467,Shorts Blue,Short,Mango,Blue,M,UNISEX,Denim,Autumn,358.20,6%,9,3030.37,"August 19, 2022",2022/09/01,Cairo,Credit Card,Returned,,
ORD-34460,Jeans Red,JEANS,Adidas,Red,XS,WOMEN,Silk,Summer,492.03,49%,8,2007.48,05-02-2022,19-02-2022,Beirut,Debit Card,Returned,,Changed mind
ORD-49040,T shirt,  T-Shirt  ,Gucci,Black,M,men,Linen,Winter,38.39,18%,10,-314.80,2023/08/19,"August 24, 2023",Casablanca,Cash,Cancelled,2.7,
ORD-35525,Jeans Red,Jeans,Mango,,xxl,Kids,Nylon,Autumn,323.74,22%,7,,2024-11-27,2024/12/02,Doha,Cash,Returned,4.4,Late delivery
ORD-50320,Jaket,Jaket,Levi's,Pink,XXL,Women,Silk,Autumn,371.02,46%,7,1402.46,31-03-2023,06-04-2023,Amman,Installment,Processing,3.9,
ORD-16245,T-Shirt Red,T-Shirt,Forever21,Red,SMALL,Unisex,Leather,Spring,164.08,35%,13,EGP 1386.48,26/08/2023,06-09-2023,Tunis,Installment,Cancelled,2.6,Changed mind
ORD-58190,Coat Pink,Kot,Nike,Pink,s,women,Denim,Spring,172.85,21%,2,273.10,2023-09-02,09-08-2023,بيروت,Installment,Delivered,4.1,
ORD-99954,Coat White,Coatt,Nike,White,l,Men,Denim,Summer,406.81,38%,14,3531.11,16/09/2023,,Dubai,Installment,pending,,
ORD-90091,Sweater,Sweater,H&M,,XX-L,Women,Nylon,Spring,297.53,16%,19,,01-15-2023,2023/01/21,Cairo,Installment,Delivered,4.0,
ORD-94851,Jeans Red,Jeans,H&M,Red,medium,Unisex,Nylon,Summer,217.18,20%,14,,"November 05, 2024",06-11-2024,Casablanca,Cash,Returned,4.6,Late delivery
ORD-16576,T-Shirt Purple,T-Shirt,Puma,Purple,S,child,Linen,Spring,203.02,28%,14,,,2022/10/26,Kuwait,Online,Cancelled,4.6,
ORD-53165,Jeans Black,Jeans ,H&M,Black,XXL,Men,Leather,Autumn,82.77 USD,41%,-6,EGP 293.01,16-06-2022,"June 19, 2022",Doha,Credit Card,Processing,1.8,
ORD-47215,Shorts White,Shorts,Uniqlo,White,XXL,uni,Polyester,Summer,306.71 USD,0.09,11,3070.17,2023/12/25,2024-01-04,Tunis,Credit Card,Delivered,4.4,
ORD-85559,Hoodie Yellow,Hoodie,Forever21,Yellow,L,Unisex,Polyester,Spring,425.11,,-13,4697.47,2024-04-24,2024-04-27,CASA,Debit Card,Pending,,
ORD-19557,Blazer Pink,Blazer,Forever21,Pink,XL,male,Wool,Summer,$460.18,7%,8,,"November 23, 2022",28-11-2022,الدوحة,Cash,Delivered,3.0,Changed mind
ORD-69522,Blazer Yellow,Blazr,Mango,Yellow,L,MEN,,N/A,336.87,19%,2,545.73,27/02/2022,03-09-2022,Amman,Cash,Returned,4.5/5,Defective
ORD-29186,Hoodie,Hoodie,nike,Pink,XXL,Kids,Polyester,Summer,497.96,15%,17,7195.52,2023-10-29,,Amman,Online,Pending,2.4,
ORD-28443,Coat,Coat,Levi's,Red,XS,KIDS,Linen,Winter,223.85,7%,14,2914.53,12-12-2023,N/A,الاسكندرية,credit card,Cancelled,5.0,Late delivery
ORD-73844,Dress,Dress,Nike,Blue,XXL,Women,Wool,Summer,328.48,44%,5,919.74,15/10/2024,2024-10-23,Aman,Installment,Delivered,2.0,Changed mind
ORD-66376,Blazer Red,Blazer,Zara,Red,XS,Kids,Nylon,Summer,179.64,26%,10,1329.34,19-01-2022,21/01/2022,Amman,Installment,Cancelled,2.2,
ORD-52204,Jeans Blue,Jeans,H&M,Blue,XXL,Unisex,Denim,Winter,492.89,32%,15,5027.48,29-04-2023,,Riyadh,Credit Card,Delivered,1.3,
ORD-98248,Coat White,Coat,Puma,White,extra large,  Women  ,Polyester,Spring,353.84,28%,1,251.23,17-01-2022,22-01-2022,Kuwait,Credit Card,Pending,2.9,Wrong size
ORD-88929,sweater,Sweater,Uniqlo,Blue,L,Unisex,Leather,Autumn,135.19,21%,1,106.80,"January 06, 2022",20-01-2022,Beirut,Credit Card,Cancelled,3.3,
ORD-81960,Blazer Blue,Blazr,Adidas,Blue,medium,Men,Silk,Spring,60,43%,,$684.34,2022/11/26,,Amman,Credit Card,Cancelled,2.6,Changed mind
ORD-97097,T-Shirt Red,T-Shirt,Uniqlo,Red,XS,  Men  ,Linen,Spring,227.74,1%,17,3832.86,03-10-2024,N/A,Cairo,Installment,Pending,3.2,
ORD-33477,Huddie,Hoodie,Uniqlo,Brown,XS,Men,Silk,Summer,23.96,36%,18,276.02,13/06/2024,2024-06-21,Doha,Online,Cancelled,2.4,
ORD-44225,Jacket Purple,Jacket,H&M,Purple,L,Unisex,Silk,Spring,$494.05,38%,3,919,"February 20, 2024",02-29-2024,Doha,Installment,Delivered,2.0,Changed mind
ORD-92012,Skirt Yellow,Skirt,Zara,Yellow,S,Unisex,Nylon,Autumn,310.74,40%,8,1491.55,2024-12-29,,Beirut,Debit Card,Delivered,10,Changed mind
ORD-65469,Jeans,denim pants,Uniqlo,Red,S,Kids,Denim,Summer,298.04,23%,6,,"November 16, 2022",N/A,Beirut,Online,Pending,1.2,
ORD-68765,Dress Black,dress,Adidas,Black,XL,Kids,Wool,Autumn,274.24,14%,4,EGP 943.39,10/02/2022,2022-02-21,Dubai,Installment,Cancelled,4.8,
ORD-50851,Coatt,Coat,UNIQLO,Black,xs,unisex,Leather,N/A,398.09,1%,11,4335.20,27/08/2024,2024-09-01,Casablanca,Debit Card,Pending,1.4,
ORD-40187,Shorts White,Shorts,Levi's,White,X-S,child,Wool,Spring,177.84,50%,7,622.44,2024-01-28,01-31-2024,Kuwait City,Installment,processing,3.5,
ORD-36214,Coat Blue,coat,Forever21,Blue,M,Child,Denim,Summer,403.36,15%,17,5828.55,,18/04/2022,تونس,Cash,Pending,4.4,
ORD-20398,Jacket Brown,Jacket,Gucci,Brown,large,Kids,,Spring,20.91,31%,14,201.99,2024-01-15,2024/01/19,alexandria,Credit Card,Delivered,1.5,
ORD-88221,Hoodie Purple,Hoodie,Mango,Purple,L,male,Polyester,Summer,$324.73,9%,9,$2659.54,"April 14, 2022",,Riyadh,Online,Processing,4.4,Defective
ORD-48057,T-Shirt Pink,Tshirts,Adidas,Pink,xlarge,both,Linen,Spring,362.04,0%,6,2172.24,13-04-2023,25-04-2023,Tunis,Credit Card,Processing,2.9,
ORD-81720,jacket,Jacket,Mango,Brown,XXL,Unisex,Polyester,Autumn,433.96,19%,13,4569.60,18-05-2022,05-29-2022,Amman,Installment,Returned,1.9,
ORD-87116,Jacket,Jacket,Levi's,Blue,XS,female,Leather,Autumn,-337.39,40%,,2631.64,,03/08/2023,Alexandria,Cash,Processing,2.1,
ORD-19833,Jacket,Jackt,Zara,White,L,Men,Cotton,Spring,39.43,3%,19,726.69,10-07-2022,2022/07/19,Kuwait,Debit Card,Returned,4.1,Defective
ORD-64662,Jeans ,Jeans,Forever21,,M,WOMEN,Wool,Autumn,227.79,,11,-2280.18,2024-05-16,21-05-2024,Tunis,Online,Delivered,2.2,
ORD-64930,Coat,Coat,Levi's,Green,L,Women,,Autumn,462.34,,4,EGP 1183.59,2023-01-01,2023-01-06,Doha,Online,Cancelled,3.7,Changed mind
ORD-75719,sweters,Swater,Puma,Black,XL,  Men  ,Nylon,Autumn,116.93,35%,,912.05,29/05/2024,11-06-2024,Riyadh,Installment,Returned,2.0,
ORD-36577,Coat Grey,Coat,Nike,Grey,M,unisex,Silk,Autumn,371.19,12%,8,2613.18,2023/02/28,2023/03/04,دبي,Credit Card,Pending,4.5,
ORD-16256,T-Shirt Brown,T-Shirt,zara,Brown,XL,Unisex,Silk,Autumn,,42%,9,1924.46,27-12-2023,12-29-2023,Amman,Installment,Delivered,3.5,
ORD-31165,Skirt Grey,Skirt,Levi's,Grey,lg,Unisex,Cotton,Winter,150.91,13%,1,$131.29,,24/01/2024,Kuwait,Credit Card,Returned,3.5,Defective
ORD-67962,Blazer,blazer,Levi's,Green,S,women,Silk,Autumn,414.74,47%,20,,07/10/2022,"October 12, 2022",Kuwait,Cash,Cancelled,4.7,
ORD-58105,Skirt Pink,Skirt,Gucci,Pink,s,WOMEN,Cotton,Autumn,307,25%,2,461.21,29/03/2023,06/04/2023,amman,Cash,Cancelled,3.6,
ORD-12820,Shorts Yellow,  Shorts  ,PUMA,Yellow,xs,Kids,Polyester,Autumn,$161.86,41%,19,$1814.45,04-25-2022,"May 05, 2022",Tunis,Credit Card,Returned,1.5,Late delivery
ORD-13851,Jeans,Jeen,Levi's,Blue,S,Women,Polyester,Summer,333.26 USD,32%,8,1812.93,14/04/2022,"April 16, 2022",Tunis,Cash,Delivered,3.6,
ORD-86646,Dress Blue,dress,mango,Blue,l,Men,Silk,Spring,390.43,9%,2,710.58,N/A,12-10-2022,Amman,Online,Pending,4.7,
ORD-39503,Skirt Red,skirts,Mango,Red,XS,Women,Cotton,Spring,115.55,27%,16,1349.62,"September 22, 2022",27-09-2022,Doha,Installment,Pending,5.0,Defective
ORD-58121,Blazer Grey,Blazr,Nike,Grey,M,Kids,Linen,Summer,169.60,47%,7,629.22,06-03-2023,10/03/2023,Amman,Credit Card,Pending,3.9,
ORD-23485,Shorts Pink,Shorts,Gucci,Pink,L,Men,Wool,Spring,$27.06,6%,15,381.55,2024/11/05,11/11/2024,Dubai,Installment,Processing,2.6,
ORD-56504,Jacket Pink,Jackt,PUMA,Pink,Lg,Children,,Spring,35.97,17%,2,,"August 17, 2023",2023-08-18,Amman,Cash,Pending,3.8,Defective
ORD-13128,Dress,Dress,Adidas,Blue,XL,Women,Silk,Winter,471.12,28%,19,6355.41,19/06/2022,"June 24, 2022",Tunis,Debit Card,Returned,4.4,Changed mind
ORD-81197,Jacket,Jacket,Uniqlo,Pink,M,  Kids  ,Linen,Winter,423.34,48%,2,440.27,"March 14, 2024",2024/03/16,Cairo,Debit Card,Delivered,2.1,Late delivery
ORD-89062,Jaket,Jacket,Levi's,Brown,S,UNISEX,Denim,Summer,277.37,37%,8,1397.94,02/05/2023,05-15-2023,Alex,Cash,Processing,2.9,Wrong size
ORD-88009,Dress,Dress,Mango,Black,M,Unisex,Nylon,Autumn,119.04,4%,20,2285.57,"January 29, 2024",,Casablanca,Online,Pending,1.4,Changed mind
ORD-31302,Blazer Brown,Blazr,Levi's,Brown,S,Women,,Winter,$470.89,0.43,-16,4294.52,,2024/08/08,Amman,Debit Card,Pending,,
ORD-43176,Dress,Dress,Uniqlo,Black,XL,female,Nylon,Spring,456.19,43%,11,,"December 19, 2024",2024-12-21,Dubai,Debit Card,Returned,10,
ORD-71711,Sweater Blue,Sweater,Uniqlo,Blue,double xl,Unisex,Cotton,Spring,235.34,4%,18,4066.68,19/08/2023,08-22-2023,  Cairo  ,Credit Card,Cancelled,3.9,
ORD-42747,Hoodie,Hoodie,Levi's,Pink,XXL,Unisex,Silk,Autumn,352.38,35%,14,3206.66,2023/11/26,08/12/2023,  Riyadh  ,Installment,Processing,1.5,
ORD-16417,Jeans Grey,Jeans,Adidas,Grey,XS,Men,Leather,Spring,65.76,8%,-8,-483.99,"April 01, 2023",N/A,doha,Cash,Delivered,1.4,Wrong size
ORD-27519,Blazer Red,Blaizer,Puma,Red,m,Kids,Wool,Spring,491.47,42%,,1140,,"March 27, 2023",DUBAI,Credit Card,Processing,3.6,
ORD-39777,Jacket Brown,Jacket,Adidas,Brown,L,FEMALE,Cotton,Spring,$328.44,41%,17,3294.25,,01-13-2024,Amman,Cash,returned,3.4,
ORD-57106,T-Shirt,T-Shirt,Gucci,Red,X-L,Women,Silk,Winter,497.69,39%,11,3339.50,01-16-2023,N/A,Dubai,Online,Returned,,Wrong size
ORD-88343,Jeans,jeans,Forever21,Grey,L,Women,Cotton,Spring,51.08,42%,-8,237.01,27/04/2023,2023/05/07,  Amman  ,Installment,Returned,1.1/5,
ORD-86948,Sweater Blue,SWEATER,Gucci,Blue,X-L,  Kids  ,Cotton,Spring,209.66,45%,4,,2023/01/05,2023-01-10,Doha,cash,Delivered,3.2,
ORD-16700,Blazer,Blazer,forever21,White,XS,WOMEN,Silk,Autumn,90.75,13%,16,1263.24,"April 28, 2024",05-04-2024,Dubai,Installment,Processing,2.5,Late delivery
ORD-28631,Jeans Pink,denim pants,H&M,Pink,XXL,Unisex,Linen,Winter,$410.46,16%,4,1379.15,2023/02/03,2023/02/16,Casablanca,Cash,Delivered,4.5,
ORD-80015,Skirt,Skirt,Zara,Pink,lg,  Women  ,Leather,Spring,180.68,28%,5,650.45,2022-09-25,"September 26, 2022",Amman,Cash,Processing,,Changed mind
ORD-69344,tshirt,T-Shirt,Uniqlo,Purple,m,both,Leather,Autumn,72.53,50%,5,$181.32,2023/03/29,04-09-2023,Dubai,Cash,Delivered,1.9,Defective
ORD-98470,Shorts,Shorts,Zara,White,m,Kids,Linen,Spring,471.94,11%,14,$5880.37,06-26-2023,07-06-2023,kuwait,Installment,Processing,2.2,
ORD-14319,Blazer Grey,Blazer,Zara,Grey,M,Men,Wool,Autumn,$446.85,30%,6,1876.77,03-04-2024,07/04/2024,Kuwait,Cash,Returned,2.1,Defective
ORD-46415,Shorts,shorts,Puma,Green,small,Unisex,Leather,Winter,321.56,8%,7,-2070.85,16-02-2024,,Tunis,Online,Cancelled,1.8,
ORD-81143,Skirt Blue,SKIRT,Mango,Blue,XS,women,Linen,Summer,148.85,23%,19,2177.68,2024/12/02,2024/12/04,Casa,Cash,Cancelled,2.3,
ORD-17237,Hoodie Pink,Hoodie,Zara,Pink,M,Unisex,Linen,Summer,383.31,24%,13,$3787.10,"September 28, 2022",2022/09/30,riyadh,Installment,Pending,,
